file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/JavadocLines.java,com.github.mauricioaniche.ck.metric.JavadocLines,class,5,5,0,5,4,1,0,1,0,0.33333334,0.6666667,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,0,0,2,0,0,0,15,0,0,1,0,0,0,2,3,0,2,1,0,0,0,18,1,0
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/NumberOfMaxNestedBlock.java,com.github.mauricioaniche.ck.metric.NumberOfMaxNestedBlock,class,17,18,1,17,32,1,0,14,115,0.7636364,0.26900584,0.26900584,22,0,19,3,0,0,19,0,0,0,5,0,0,5,0,0,0,0,3,134,1,0,0,0,2,0,6,14,2,13,1,0,0,0,41,1,0
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/NOSITest.java,com.github.mauricioaniche.ck.NOSITest,class,5,5,0,5,4,2,0,5,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0,0,4,3,4,1,3,0,0,0,0,29,1,0
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/NumberOfParameters.java,com.github.mauricioaniche.ck.metric.NumberOfParameters,class,4,4,0,4,3,1,0,3,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,0,0,1,0,0,0,2,2,0,1,0,0,0,0,16,1,0
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/TightClassCohesionTest.java,com.github.mauricioaniche.ck.TightClassCohesionTest,class,5,5,0,5,9,2,0,6,28,0.0,0.0,0.0,8,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,34,0,0,0,0,0,9,16,9,5,8,0,0,0,0,32,1,0
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/Coupling.java,com.github.mauricioaniche.ck.metric.Coupling,class,39,40,1,39,91,1,0,49,0,0.6781609,0.6571429,0.7285714,29,0,21,8,0,0,21,0,0,0,3,0,0,3,0,0,0,0,2,258,11,5,38,1,0,10,1,36,0,37,4,0,0,4,74,1,0
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/NumberOfMathOperationsTest.java,com.github.mauricioaniche.ck.NumberOfMathOperationsTest,class,6,6,0,6,2,2,0,8,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,0,5,4,2,1,1,0,0,0,0,18,1,0
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/NumberOfInnerClassesLambdasAndAnonymousClasses.java,com.github.mauricioaniche.ck.metric.NumberOfInnerClassesLambdasAndAnonymousClasses,class,9,9,0,9,14,1,0,7,0,0.375,1.0,1.0,6,0,6,0,0,0,6,0,0,0,4,0,0,4,0,0,0,0,0,32,0,0,4,0,3,8,9,8,3,4,1,0,0,0,30,1,0
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/util/WordCounter.java,com.github.mauricioaniche.ck.util.WordCounter,class,1,5,4,1,10,1,0,20,3,0.6666667,0.0,0.0,3,3,2,1,0,0,3,0,0,0,1,1,0,1,0,0,0,0,5,88,4,2,3,0,1,47,5,10,1,13,2,1,0,4,23,1,0
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/FieldsAccessedTest.java,com.github.mauricioaniche.ck.FieldsAccessedTest,class,6,6,0,6,7,2,0,8,21,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,39,0,0,0,0,0,27,0,15,1,14,0,0,0,0,38,1,0
