file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/JavadocLines.java,com.github.mauricioaniche.ck.metric.JavadocLines,class,6,6,0,6,5,1,0,1,0,0.25,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,15,0,0,1,0,0,0,2,3,0,2,3,0,0,0,22,1,0
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/NumberOfMaxNestedBlock.java,com.github.mauricioaniche.ck.metric.NumberOfMaxNestedBlock,class,18,19,1,18,44,1,0,16,20,0.69411767,0.50549453,0.50549453,17,0,4,3,0,10,14,0,0,0,5,0,0,5,0,0,3,0,3,128,1,0,0,0,2,0,6,14,2,13,9,0,0,0,46,1,0
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/NOSITest.java,com.github.mauricioaniche.ck.NOSITest,class,5,5,0,5,4,2,0,5,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0,0,4,3,4,1,3,0,0,0,0,29,1,0
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/NumberOfParameters.java,com.github.mauricioaniche.ck.metric.NumberOfParameters,class,5,5,0,5,4,1,0,3,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,0,0,1,0,0,0,2,2,0,1,1,0,0,0,20,1,0
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/TightClassCohesionTest.java,com.github.mauricioaniche.ck.TightClassCohesionTest,class,5,5,0,5,9,2,0,6,28,0.0,0.0,0.0,8,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,34,0,0,0,0,0,9,16,9,5,8,0,0,0,0,32,1,0
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/Coupling.java,com.github.mauricioaniche.ck.metric.Coupling,class,37,38,1,37,94,1,0,52,28,0.6944444,0.0,0.0,24,0,6,18,0,0,6,0,0,0,3,0,0,3,0,0,1,0,2,234,11,5,32,1,0,10,1,28,0,29,14,0,0,4,76,1,0
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/NumberOfMathOperationsTest.java,com.github.mauricioaniche.ck.NumberOfMathOperationsTest,class,6,6,0,6,2,2,0,8,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,0,5,4,2,1,1,0,0,0,0,18,1,0
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/NumberOfInnerClassesLambdasAndAnonymousClasses.java,com.github.mauricioaniche.ck.metric.NumberOfInnerClassesLambdasAndAnonymousClasses,class,11,12,1,11,19,1,0,8,0,0.46428573,0.71428573,0.71428573,7,0,3,0,0,4,7,0,0,0,4,0,0,4,0,0,0,0,0,38,0,0,4,0,3,8,9,8,3,4,4,0,0,0,36,1,0
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/util/WordCounter.java,com.github.mauricioaniche.ck.util.WordCounter,class,1,5,4,1,10,1,0,20,3,0.6666667,0.0,0.0,3,3,2,1,0,0,3,0,0,0,1,1,0,1,0,0,0,0,5,88,4,2,3,0,1,47,5,10,1,13,2,1,0,4,23,1,0
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/FieldsAccessedTest.java,com.github.mauricioaniche.ck.FieldsAccessedTest,class,6,6,0,6,7,2,0,8,21,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,39,0,0,0,0,0,27,0,15,1,14,0,0,0,0,38,1,0
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/util/LOCCalculatorTest.java,com.github.mauricioaniche.ck.util.LOCCalculatorTest,class,2,2,0,2,11,1,0,4,55,0.0,0.0,0.0,11,0,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,11,132,0,0,0,0,0,75,11,22,0,22,0,0,0,0,33,1,0
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/LOCTest.java,com.github.mauricioaniche.ck.LOCTest,class,4,4,0,4,2,2,0,5,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,18,0,0,0,0,0,7,5,7,2,7,0,0,0,0,23,1,0
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/BaseTest.java,com.github.mauricioaniche.ck.BaseTest$Anonymous1,anonymous,1,1,0,1,2,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-1,0
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/BaseTest.java,com.github.mauricioaniche.ck.BaseTest$Anonymous2,anonymous,1,1,0,1,2,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-1,0
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/ClassLevelMetric.java,com.github.mauricioaniche.ck.metric.ClassLevelMetric,interface,1,41,40,1,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/IndividualFilesWithContextTest.java,com.github.mauricioaniche.ck.IndividualFilesWithContextTest$Anonymous1,anonymous,1,1,0,1,2,1,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19,-1,0
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/NumberOfLogStatements.java,com.github.mauricioaniche.ck.metric.NumberOfLogStatements,class,9,10,1,9,8,1,0,9,4,0.4,0.3,0.3,5,1,4,0,0,1,5,0,0,0,1,0,0,1,0,0,0,0,1,21,1,0,0,0,0,1,1,2,0,1,2,0,0,0,71,1,0
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/WMCTest.java,com.github.mauricioaniche.ck.WMCTest,class,6,6,0,6,8,2,0,8,28,0.0,0.0,0.0,8,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,67,0,0,0,0,0,42,54,11,3,10,0,0,0,0,36,1,0
