file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/JavadocLines.java,com.github.mauricioaniche.ck.metric.JavadocLines,setResult/1[com.github.mauricioaniche.ck.CKMethodResult],false,31,1,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/JavadocLines.java,com.github.mauricioaniche.ck.metric.JavadocLines,visit/1[T],false,17,3,0,0,0,4,0,8,0,0,1,0,0,0,0,1,0,0,0,1,1,0,3,0,0,0,12,1,0,false
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/NumberOfMaxNestedBlock.java,com.github.mauricioaniche.ck.metric.NumberOfMaxNestedBlock,internalVisit/1[com.github.mauricioaniche.ck.metric.SwitchStatement],false,109,2,1,0,1,1,3,5,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,false
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/NumberOfMaxNestedBlock.java,com.github.mauricioaniche.ck.metric.NumberOfMaxNestedBlock,internalVisit/1[com.github.mauricioaniche.ck.metric.WhileStatement],false,97,2,2,0,2,2,5,11,0,1,1,5,2,1,0,0,0,0,0,0,1,0,1,0,0,0,11,0,0,false
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/NumberOfMaxNestedBlock.java,com.github.mauricioaniche.ck.metric.NumberOfMaxNestedBlock,internalVisit/1[com.github.mauricioaniche.ck.metric.CatchClause],false,120,2,2,0,2,2,5,11,0,1,1,5,2,1,0,0,0,0,0,0,1,0,1,0,0,0,11,0,0,false
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/NumberOfMaxNestedBlock.java,com.github.mauricioaniche.ck.metric.NumberOfMaxNestedBlock,internalVisit/1[com.github.mauricioaniche.ck.metric.SwitchCase],false,116,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/NumberOfMaxNestedBlock.java,com.github.mauricioaniche.ck.metric.NumberOfMaxNestedBlock,endVisit/1[T],false,30,10,2,0,2,9,2,4,0,0,1,2,2,1,0,0,0,0,0,0,0,0,2,0,0,0,20,1,0,false
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/NumberOfMaxNestedBlock.java,com.github.mauricioaniche.ck.metric.NumberOfMaxNestedBlock,internalVisit/1[com.github.mauricioaniche.ck.metric.Block],false,43,3,2,1,1,3,5,10,0,0,1,5,1,1,0,0,0,1,0,0,0,0,1,0,0,0,10,0,0,false
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/NumberOfMaxNestedBlock.java,com.github.mauricioaniche.ck.metric.NumberOfMaxNestedBlock,internalVisit/1[com.github.mauricioaniche.ck.metric.DoStatement],false,85,2,2,0,2,2,5,11,0,1,1,5,2,1,0,0,0,0,0,0,1,0,1,0,0,0,11,0,0,false
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/NumberOfMaxNestedBlock.java,com.github.mauricioaniche.ck.metric.NumberOfMaxNestedBlock,containsBlock/1[com.github.mauricioaniche.ck.metric.Statement],false,155,2,6,6,0,1,0,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,0,false
